"store_id","ds","product_id","goods_id","goods_name","sale_num","income","cost","profit","profit_rate","preferential_money","point_money","full_money","stock_turnover_day","create_time","update_time"
21,2018-01-05 00:00:00,173,4376393,"老板（Robam）悦界系列 大吸力欧式触控  抽油烟机灶具套装（天然气）CXW-200-67A3",20,59420.0,70000.0,-10580.0,-0.1781,156.0,0.0,454.0,42.2,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,142,4324018,"老板（Robam） 大吸力免拆洗 触控侧吸式抽油烟机CXW-200-27A3",15,51945.0,57120.0,-5175.0,-0.0996,0.0,0.0,3602.0,56.53,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,113,3247460,"老板（Robam）大火力 稳火节能灶台 不锈钢嵌入式燃气灶具（天然气）JZ(Y/T/R)-56G1",14,24806.0,21061.874,3744.126,0.1509,105.0,0.0,2344.0,40.71,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,82,1843755,"老板（Robam）大吸力 免拆洗侧吸式抽油烟机 CXW-200-21A6",9,20426.0,21240.0,-814.0,-0.0399,108.0,0.0,1786.0,49.22,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,194,5093379,"老板（Robam） 大吸力免拆洗侧吸式 抽油烟机灶具套装（液化气）CXW-200-21A5",9,21632.0,21267.0,365.0,0.0169,30.0,0.0,136.0,39.33,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,36,1216340,"老板（Robam）大吸力 免拆洗触控欧式抽油烟机 CXW-200-8325",9,22499.0,21213.0,1286.0,0.0572,39.0,0.0,0.0,74.67,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,187,5476906,"老板（Robam） 大吸力免拆洗欧式 抽油烟机灶具套装（液化气）CXW-200-60Q5",8,17509.0,16184.0,1325.0,0.0757,63.0,0.0,0.0,51.63,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,74,236338,"老板（Robam）大吸力 免拆洗侧吸式抽油烟机 CXW-200-5360",7,13414.0,14000.0731,-586.0731,-0.0437,0.0,0.0,0.0,49.86,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,206,3662618,"老板（Robam）大吸力 免拆洗触控侧吸式空气净化抽油烟机CXW-200-26A8B",6,15777.0,19658.9407,-3881.9407,-0.2461,502.0,0.0,63.0,114.58,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,172,4376415,"老板（Robam）悦界系列 大吸力欧式触控 抽油烟机灶具套装（天然气）CXW-200-67A3",5,14465.0,17500.0,-3035.0,-0.2098,295.0,0.0,0.0,80.6,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,174,5238906,"老板（Robam）悦界系列 大吸力免拆洗 欧式触控抽油烟机CXW-200-67A3",4,14237.0,14000.0,237.0,0.0166,15.0,0.0,888.0,82.75,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,139,4243736,"老板（Robam） 大吸力空气净化免拆洗 触控侧吸式抽油烟机CXW-200-26A8B",4,12082.0,12852.0,-770.0,-0.0637,10.0,0.0,924.0,100.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,195,5080685,"老板（Robam）悦界系列 大吸力 欧式触控抽油烟机CXW-200-67A7",4,16472.0,16932.0,-460.0,-0.0279,109.0,0.0,1289.0,86.5,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,147,3836885,"老板（Robam） 大吸力免拆洗欧式触控 抽油烟机灶具套装（天然气）CXW-200-66A2",4,7120.0,14368.0,-7248.0,-1.018,80.0,0.0,0.0,91.75,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,244,1915369,"老板（Robam）大吸力 免拆洗触控欧式抽油烟机 CXW-200-66A1",3,5578.0,9840.0254,-4262.0254,-0.7641,521.0,0.0,0.0,175.67,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,100,1915376,"老板（Robam）大吸力 免拆洗触控欧式抽油烟机 CXW-200-66A1",3,9486.0,8940.0,546.0,0.0576,158.0,0.0,0.0,184.33,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,110,1717369,"老板（Robam）大火力 3D速火灶台 钢化玻璃嵌入式燃气灶具（天然气）JZT-58B5",3,5974.0,4919.2426,1054.7574,0.1766,0.0,0.0,0.0,122.88,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,143,3806453,"老板（Robam）抽屉式全自动软水洗碗机WQP6-W771",2,9715.0,11016.0,-1301.0,-0.1339,400.0,0.0,487.0,43.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,117,3407234,"老板（Robam）智能触控 家用嵌入式电蒸箱/电蒸炉 ZQB235-S270",2,8880.0,10200.0,-1320.0,-0.1486,80.0,0.0,0.0,63.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,248,2782383,"老板（Robam）大吸力 免拆洗时尚触控侧吸式抽油烟机 CXW-200-25A3",2,5588.0,6400.0,-812.0,-0.1453,0.0,0.0,0.0,167.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,109,1717365,"老板（Robam）大火力 3D速火灶台 不锈钢嵌入式燃气灶具（天然气）JZT-58G6",1,1186.0,1500.0,-314.0,-0.2648,0.0,0.0,18.0,17.21,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,144,4324006,"老板（Robam）大吸力 免拆洗触控欧式抽油烟机 CXW-200-66A2",1,2700.0,3817.0,-1117.0,-0.4137,9.0,0.0,186.0,210.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,111,3185828,"老板（Robam）大火力 3D速火灶台 钢化玻璃嵌入式燃气灶具（液化气）JZY-58B5",1,1240.0,1812.5,-572.5,-0.4617,0.0,0.0,0.0,58.48,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,255,491139,"老板（Robam）大吸力 免拆洗侧吸式抽油烟机 CXW-200-5360",1,1999.0,2000.0,-1.0,-0.0005,0.0,0.0,0.0,33.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,247,1717387,"老板（Robam）大吸力 免拆洗触控侧吸式抽油烟机 CXW-200-26A5",1,1899.0,3100.0861,-1201.0861,-0.6325,0.0,0.0,0.0,33.0,2018-01-06 09:01:19,2018-01-06 09:01:19
